"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Sejuani","Middle",1,"0.1%","31.0%","64.8%","0%","100%",0,4,2,0.5,"100.0%","20.0%","0%",-383,-542,-3,7.5,"21.6%",322,"22.9%","23.5%",0.33,0.17
"Viktor","Middle",10,"1.0%","0.1%","1.2%","30%","80%",23,26,43,2.5,"76.7%","17.6%","0%",-392,-106,-8.8,8.2,"27.2%",681,"31.8%","23.1%",0.46,0.19
"Vel'Koz","Middle",2,"0.2%","0.3%","0.5%","0%","50%",4,6,4,1.3,"80.0%","19.4%","0%",-424,-276,-5,8.2,"26.3%",550,"30.0%","26.9%",0.46,0.01
"Ornn","Top",85,"8.5%","2.4%","10.9%","55%","87%",123,187,556,3.6,"61.2%","18.6%","6%",-436,-202,-9.9,7.2,"20.8%",438,"19.8%","18.7%",0.42,0.15
"Galio","Middle",12,"1.2%","1.4%","3.0%","50%","75%",23,35,77,2.9,"64.5%","21.3%","8%",-473,17,0.8,7.7,"24.1%",365,"18.0%","20.2%",0.29,0.2
"Maokai","Top",2,"0.2%","24.6%","53.3%","50%","50%",1,6,16,2.8,"65.4%","25.0%","50%",-497,-479,-25,7.1,"21.5%",410,"19.4%","19.2%",0.4,0.04
"Kai'Sa","Middle",10,"1.0%","17.6%","45.2%","30%","80%",50,32,26,2.4,"73.1%","19.8%","0%",-555,-410,-7.3,9.1,"29.8%",816,"36.6%","27.2%",0.47,0.22
"Janna","Support",5,"0.5%","0.4%","0.9%","40%","80%",2,9,27,3.2,"72.5%","16.4%","0%",-713,-499,11,0.8,"7.7%",120,"5.9%","9.2%",2.24,0.44
"Bel'Veth","Jungle",2,"0.2%","0.1%","0.3%","100%","50%",11,3,11,7.3,"75.9%","21.4%","-","-","-","-",8.1,"-",479,"21.5%","25.7%",0.24,0.37
"Garen","-",0,"0%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Mordekaiser","Top",2,"0.2%","0.1%","0.3%","50%","100%",4,5,5,1.8,"42.9%","20.8%","-","-","-","-",7.5,"-",475,"29.2%","20.7%",0.37,0.03
"Qiyana","Middle",6,"0.6%","0.1%","0.7%","67%","100%",24,12,30,4.5,"58.1%","16.0%","-","-","-","-",7.5,"-",450,"18.2%","23.4%",0.43,0.21
"Renekton","Middle",1,"0.1%","25.7%","57.9%","0%","0%",0,4,1,0.3,"20.0%","22.2%","-","-","-","-",7.7,"-",245,"15.7%","20.4%",0.3,0.17
"Rengar","Jungle",7,"0.7%","1.8%","2.5%","57%","43%",18,18,58,4.2,"64.4%","20.7%","-","-","-","-",6.3,"-",320,"14.4%","18.4%",0.35,0.51
"Talon","-",0,"0%","0.2%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Varus","Middle",1,"0.1%","18.1%","31.3%","0%","100%",0,3,4,1.3,"80.0%","13.0%","-","-","-","-",8.5,"-",658,"26.4%","22.5%",0.55,0.2
"Veigar","ADC",2,"0.2%","4.1%","10.3%","50%","100%",10,3,10,6.7,"66.7%","11.5%","-","-","-","-",9.7,"-",625,"30.3%","26.4%",0.38,0.27
"Veigar","Support",1,"0.1%","4.1%","10.3%","0%","0%",1,7,11,1.7,"41.4%","21.2%","-","-","-","-",0.8,"-",207,"8.5%","8.1%",1.62,0.46
"Viktor","Top",1,"0.1%","0.1%","1.2%","100%","100%",3,2,8,5.5,"57.9%","14.3%","-","-","-","-",8.2,"-",579,"24.2%","19.9%",0.53,0.11
"Vladimir","Top",1,"0.1%","0.1%","0.2%","0%","100%",2,5,2,0.8,"80.0%","21.7%","-","-","-","-",8.2,"-",426,"22.5%","23.6%",0.31,0.04
